Particip,SPs_G1,group_1,SPs_G2,group_2,SPs_G3,group_3,SPs_G4,group_4,SPs_G5,group_5,order
No_stakeholder,SP4,5,SP8,4,SP12,4,SP16,5,SP20,4,1
No_stakeholder,SP4,6,SP8,4,SP12,7,SP16,5,SP20,4,1
No_stakeholder,SP4,4,SP8,3,SP12,3,SP16,2,SP20,1,1
No_stakeholder,SP4,5,SP8,3,SP12,4,SP16,2,SP20,2,1
No_stakeholder,SP4,4,SP8,3,SP12,4,SP16,5,SP20,4,1
No_stakeholder,SP4,4,SP8,3,SP12,2,SP16,2,SP20,2,1
No_stakeholder,SP4,4,SP8,4,SP12,4,SP16,4,SP20,5,1
No_stakeholder,SP4,4,SP8,4,SP12,4,SP16,4,SP20,3,1
No_stakeholder,SP4,3,SP8,2,SP12,2,SP16,4,SP20,3,1
No_stakeholder,SP4,5,SP8,4,SP12,4,SP16,3,SP20,4,1
No_stakeholder,SP4,4,SP8,4,SP12,3,SP16,3,SP20,1,1
No_stakeholder,SP4,4,SP8,3,SP12,3,SP16,2,SP20,3,1
No_stakeholder,SP4,4,SP8,3,SP12,5,SP16,3,SP20,2,1
No_stakeholder,SP4,5,SP8,3,SP12,3,SP16,3,SP20,1,1
No_stakeholder,SP4,5,SP8,4,SP12,4,SP16,4,SP20,3,1
No_stakeholder,SP4,3,SP8,4,SP12,2,SP16,1,SP20,1,1
No_stakeholder,SP4,4,SP8,4,SP12,3,SP16,2,SP20,2,1
No_stakeholder,SP4,4,SP8,3,SP12,3,SP16,2,SP20,2,1
No_stakeholder,SP4,5,SP8,4,SP12,2,SP16,2,SP20,2,1
No_stakeholder,SP4,2,SP8,2,SP12,2,SP16,2,SP20,2,1
No_stakeholder,SP4,3,SP8,2,SP12,2,SP16,4,SP20,2,1
No_stakeholder,SP4,1,SP8,2,SP12,2,SP16,1,SP20,5,1
No_stakeholder,SP4,4,SP8,4,SP12,3,SP16,2,SP20,2,1
No_stakeholder,SP4,5,SP8,4,SP12,4,SP16,4,SP20,4,1
